Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Alex Smith,KAN,29,37,324,3,0,1,1,38,130.2,5,19,0,,0,0,0,0,,0,0
Kareem Hunt,KAN,0,0,0,0,0,0,0,0,,29,107,0,23,4,3,9,0,10,0,0
Charcandrick West,KAN,0,0,0,0,0,0,0,0,,1,1,0,1,2,2,12,2,8,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,98,0,26,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,,,0,0,0,,6,4,68,0,,0,0
Chris Conley,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,46,0,19,0,0
Ross Travis,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,18,1,0
Demetrius Harris,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,21,0,11,0,0
Albert Wilson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,12,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
De'Anthony Thomas,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,1,10,0,0
Anthony Sherman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Deshaun Watson,HOU,16,31,261,5,0,3,13,48,119.8,3,31,0,,0,0,0,0,,0,0
Lamar Miller,HOU,0,0,0,0,0,0,0,0,,15,74,0,18,3,2,15,0,12,0,0
D'Onta Foreman,HOU,0,0,0,0,0,0,0,0,,4,34,0,25,1,1,3,0,3,1,1
Will Fuller,HOU,0,0,0,0,0,0,0,0,,1,5,0,5,3,2,57,2,48,0,0
Stephen Anderson,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,63,0,42,0,0
DeAndre Hopkins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,12,4,52,3,34,0,0
Bruce Ellington,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,30,0,22,0,0
Ryan Griffin,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,13,0,0
Chris Thompson,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0
