Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Blake Bortles,JAX,32,50,382,2,3,1,2,32,75.6,5,31,0,,0,0,0,0,,1,0
Leonard Fournette,JAX,0,0,0,0,0,0,0,0,,18,48,1,7,3,3,22,0,8,0,0
T.J. Yeldon,JAX,0,0,0,0,0,0,0,0,,5,13,1,6,10,7,64,0,20,0,0
Keelan Cole,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,108,0,32,0,0
Dede Westbrook,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,74,0,23,0,0
James O'Shaughnessy,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,39,1,11,0,0
Jaelen Strong,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,1,19,0,0
Marcedes Lewis,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,0,22,0,0
Ben Koyack,JAX,0,0,0,0,0,0,0,,,0,0,0,,2,2,10,0,,0,0
Jaydon Mickens,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,5,0,5,0,0
Jimmy Garoppolo,SFO,21,30,242,2,1,1,4,44,102.4,3,3,1,,0,0,0,0,,0,0
Matt Breida,SFO,0,0,0,0,0,0,0,0,,11,74,1,30,1,1,8,0,8,0,0
Carlos Hyde,SFO,0,0,0,0,0,0,0,0,,21,54,1,10,3,3,19,0,10,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,76,0,44,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,42,1,21,0,0
Marquise Goodwin,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,37,0,24,0,0
Trent Taylor,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,19,1,8,0,0
Louis Murphy,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
Aldrick Robinson,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,12,0,12,0,0
