Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kirk Cousins,WAS,30,40,303,3,1,4,34,32,110.7,3,18,0,,0,0,0,0,,0,0
Chris Thompson,WAS,0,0,0,0,0,0,0,0,,7,38,0,15,5,5,26,1,10,0,0
Robert Kelley,WAS,0,0,0,0,0,0,0,0,,7,16,0,8,2,2,14,0,9,0,0
Jamison Crowder,WAS,0,0,0,0,0,0,0,0,,1,3,0,3,6,2,28,0,20,1,0
Vernon Davis,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,67,0,31,0,0
Jordan Reed,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,64,2,20,0,0
Josh Doctson,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,39,0,17,0,0
Niles Paul,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,32,0,32,0,0
Ryan Grant,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,19,0,10,0,0
Terrelle Pryor,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,14,0,9,0,0
Carson Wentz,PHI,17,25,268,4,1,3,24,64,126.3,8,63,0,,0,0,0,0,,2,0
LeGarrette Blount,PHI,0,0,0,0,0,0,0,0,,14,29,0,21,0,0,0,0,0,0,0
Wendell Smallwood,PHI,0,0,0,0,0,0,0,0,,8,25,0,9,2,2,14,0,8,0,0
Corey Clement,PHI,0,0,0,0,0,0,0,0,,1,6,0,6,1,1,9,1,9,0,0
Kenjon Barner,PHI,0,0,0,0,0,0,0,0,,2,4,0,2,0,0,0,0,0,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,89,1,46,0,0
Mack Hollins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,64,1,64,0,0
Nelson Agholor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,45,1,14,0,0
Alshon Jeffery,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,37,0,24,0,0
Trey Burton,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Brent Celek,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Marcus Johnson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Torrey Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
