Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Andy Dalton,DAL,16,23,185,2,0,2,14,32,122.6,1,-1,0,-1,0,0,0,0,0,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,12,48,0,26,3,2,11,0,7,0,0
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,11,39,0,17,2,2,9,1,7,0,0
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,1,15,0,15,2,2,46,0,32,0,0
Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,51,1,20,0,0
Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,34,0,15,0,0
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,23,0,12,0,0
Blake Bell,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Brandon Allen,CIN,27,36,217,1,0,0,0,21,99.0,4,12,0,4,0,0,0,0,0,0,0
Ryan Finley,CIN,1,2,5,0,0,2,14,5,56.2,0,0,0,0,0,0,0,0,0,0,0
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,12,49,0,9,3,3,14,0,7,1,1
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,10,32,0,11,2,2,9,0,5,0,0
Giovani Bernard,CIN,0,0,0,0,0,0,0,0,,3,8,0,4,3,3,15,0,9,1,1
A.J. Green,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,62,1,16,0,0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,49,0,18,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,43,0,21,0,0
Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,21,0,9,0,0
Alex Erickson,CIN,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,9,0,9,1,1
Mike Thomas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
