Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jacoby Brissett,CLE,22,35,212,1,0,3,27,38,89.2,7,40,0,14,0,0,0,0,0,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,11,63,1,33,4,3,18,0,9,1,1
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,6,9,0,7,1,1,10,0,10,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,99,0,38,0,0
Amari Cooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,32,0,12,0,0
David Bell,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,24,0,13,0,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,15,1,12,0,0
Pharaoh Brown,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,13,0,8,0,0
Anthony Schwartz,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Michael Woods II,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
D'Ernest Johnson,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-2,0,-2,0,0
Tua Tagovailoa,MIA,25,32,285,3,0,0,0,29,135.0,1,0,0,0,0,0,0,0,0,0,0
Skylar Thompson,MIA,1,1,17,0,0,0,0,17,118.7,3,0,0,0,0,0,0,0,0,0,0
Cedrick Wilson Jr.,MIA,0,0,0,0,0,1,6,0,,0,0,0,0,1,1,7,0,7,0,0
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,17,119,1,20,5,2,24,0,14,0,0
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,8,65,1,24,4,4,22,0,8,0,0
Salvon Ahmed,MIA,0,0,0,0,0,0,0,0,,3,11,0,7,0,0,0,0,0,0,0
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,66,0,29,0,0
Trent Sherfield,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,63,1,27,0,0
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,45,1,17,0,0
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,44,1,20,0,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,31,0,16,0,0
Robert Hunt,MIA,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
