Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Josh Allen,BUF,35,47,353,3,1,3,18,31,107.8,9,26,0,7,0,0,0,0,0,0,0
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,5,27,0,14,5,5,16,0,6,0,0
Zack Moss,BUF,0,0,0,0,0,0,0,0,,8,24,0,7,4,2,15,0,12,1,0
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,1,5,0,5,1,1,3,0,3,0,0
Emmanuel Sanders,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,91,0,31,0,0
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,89,1,17,0,0
Cole Beasley,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,88,1,29,0,0
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,20,0,0
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,25,0,11,0,0
Tommy Sweeney,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
Jake Kumerow,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ryan Tannehill,TEN,18,29,216,0,1,0,0,48,70.5,2,3,1,4,0,0,0,0,0,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,20,143,3,76,3,2,13,0,9,0,0
A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,91,0,22,0,0
Julio Jones,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,59,0,48,0,0
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,27,0,14,0,0
Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Marcus Johnson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
