Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Tom Brady,NWE,29,45,324,0,0,2,13,29,85.8,1,8,0,,0,0,0,0,,1,0
Cordarrelle Patterson,NWE,0,0,0,0,0,0,0,0,,10,38,0,22,0,0,0,0,0,0,0
James White,NWE,0,0,0,0,0,0,0,0,,8,15,1,5,13,10,79,0,15,0,0
Julian Edelman,NWE,0,0,0,0,0,0,0,0,,2,13,0,7,10,9,104,0,26,0,0
Kenjon Barner,NWE,0,0,0,0,0,0,0,0,,2,4,0,2,0,0,0,0,0,0,0
Chris Hogan,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,49,0,29,0,0
Rob Gronkowski,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,43,0,22,0,0
Josh Gordon,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,42,0,18,0,0
James Develin,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Brian Hoyer,NWE,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,0
Derek Anderson,BUF,22,39,290,0,1,3,26,40,69.4,1,-1,0,,0,0,0,0,,2,1
Nathan Peterman,BUF,2,2,23,0,0,0,0,14,114.6,0,0,0,,0,0,0,0,,0,0
Chris Ivory,BUF,0,0,0,0,0,0,0,0,,6,34,0,13,2,1,11,0,11,0,0
LeSean McCoy,BUF,0,0,0,0,0,0,0,0,,12,13,0,12,8,6,82,0,24,0,0
Zay Jones,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,55,0,14,0,0
Andre Holmes,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,45,0,24,0,0
Kelvin Benjamin,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,45,0,40,0,0
Charles Clay,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,36,0,21,0,0
Ray-Ray McCloud,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
Jason Croom,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,0,14,0,0
Cam Phillips,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Patrick DiMarco,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
